Drug A,Drug B,Severity,Mechansim,Reference
Alendronate,Nivolumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Alendronate,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Alendronate,Methotrexate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Alendronate,Losartan,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Alendronate,Gabapentin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Alendronate,Pregabalin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Alendronate,Quetiapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Alendronate,Tiotropium,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Alendronate,Ketoconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amiodarone,Ranitidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amiodarone,Omega-3 (Fish Oil),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amiodarone,Pantoprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amiodarone,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Amiodarone,Beclometasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amiodarone,Tetracycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amiodarone,Cefixime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amlodipine,Salbutamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amlodipine,Simvastatin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amlodipine,Insulin Lispro,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amlodipine,Cefuroxime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amlodipine,Clarithromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amlodipine,Pembrolizumab,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amlodipine,Naproxen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amlodipine,Captopril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amlodipine,Doxycycline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
